person,movie,award,year_of_award,date_of_birth,year_of_birth,approximate_age
Lewis Milestone,Two Arabian Knights,Best Director,1927,09/30/1895,1895,32
Frank Lloyd,The Divine Lady,Best Director,1930,02/02/1886,1886,44
Lewis Milestone,All Quiet on the Western Front,Best Director,1931,09/30/1895,1895,36
Norman Taurog,Skippy,Best Director,1932,02/23/1899,1899,33
Frank Borzage,Bad Girl,Best Director,1933,04/23/1894,1894,39
Frank Lloyd,Cavalcade,Best Director,1934,02/02/1886,1886,48
Frank Capra,It Happened One Night,Best Director,1935,05/18/1897,1897,38
John Ford,The Informer,Best Director,1936,02/01/1894,1894,42
Frank Capra,Mr. Deeds Goes to Town,Best Director,1937,05/18/1897,1897,40
Leo McCarey,The Awful Truth,Best Director,1938,10/03/1898,1898,40
Frank Capra,You Can't Take It with You,Best Director,1939,05/18/1897,1897,42
Victor Fleming,Gone with the Wind,Best Director,1940,02/23/1883,1883,57
John Ford,The Grapes of Wrath,Best Director,1941,02/01/1894,1894,47
John Ford,How Green Was My Valley,Best Director,1942,02/01/1894,1894,48
William Wyler,Mrs. Miniver,Best Director,1943,07/01/1902,1902,41
Michael Curtiz,Casablanca,Best Director,1944,12/24/1886,1886,58
Leo McCarey,Going My Way,Best Director,1945,10/03/1898,1898,47
Jerome Robbins,West Side Story,Best Director,1962,10/11/1918,1918,44
Billy Wilder,The Lost Weekend,Best Director,1946,06/22/1906,1906,40
William Wyler,The Best Years of Our Lives,Best Director,1947,07/01/1902,1902,45
Elia Kazan,Gentleman's Agreement,Best Director,1948,09/07/1909,1909,39
John Huston,The Treasure of the Sierra Madre,Best Director,1949,08/05/1906,1906,43
Joseph L. Mankiewicz,A Letter to Three Wives,Best Director,1950,02/11/1909,1909,41
Joseph L. Mankiewicz,All About Eve,Best Director,1951,02/11/1909,1909,42
George Stevens,A Place in the Sun,Best Director,1952,12/18/1904,1904,48
John Ford,The Quiet Man,Best Director,1953,02/01/1894,1894,59
Fred Zinnemann,From Here to Eternity,Best Director,1954,04/29/1907,1907,47
Elia Kazan,On the Waterfront,Best Director,1955,09/07/1909,1909,46
Delbert Mann,Marty,Best Director,1956,01/30/1920,1920,36
George Stevens,Giant,Best Director,1957,12/18/1904,1904,53
David Lean,The Bridge on the River Kwai,Best Director,1958,03/25/1908,1908,50
Vincente Minnelli,Gigi,Best Director,1959,02/28/1903,1903,56
William Wyler,Ben-Hur,Best Director,1960,07/01/1902,1902,58
Billy Wilder,The Apartment,Best Director,1961,06/22/1906,1906,55
Robert Wise,West Side Story,Best Director,1961,09/10/1914,1914,47
David Lean,Lawrence of Arabia,Best Director,1963,03/25/1908,1908,55
Tony Richardson,Tom Jones,Best Director,1964,06/05/1928,1928,36
George Cukor,My Fair Lady,Best Director,1965,07/07/1899,1899,66
Robert Wise,The Sound of Music,Best Director,1966,09/10/1914,1914,52
Fred Zinnemann,A Man for All Seasons,Best Director,1967,04/29/1907,1907,60
Mike Nichols,The Graduate,Best Director,1968,11/06/1931,1931,37
Joel Coen,No Country for Old Men,Best Director,2008,11/29/1954,1954,54
Carol Reed,Oliver!,Best Director,1969,12/30/1906,1906,63
John Schlesinger,Midnight Cowboy,Best Director,1969,02/16/1926,1926,43
Franklin J. Schaffner,Patton,Best Director,1970,05/30/1920,1920,50
William Friedkin,The French Connection,Best Director,1972,08/29/1935,1935,37
Bob Fosse,Cabaret,Best Director,1973,06/23/1927,1927,46
George Roy Hill,The Sting,Best Director,1973,12/20/1921,1921,52
Francis Ford Coppola,The Godfather Part II,Best Director,1975,04/07/1939,1939,36
Milos Forman,One Flew over the Cuckoo's Nest,Best Director,1976,02/18/1932,1932,44
John G. Avildsen,Rocky,Best Director,1976,12/21/1935,1935,41
Woody Allen,Annie Hall,Best Director,1978,12/01/1935,1935,43
Michael Cimino,The Deer Hunter,Best Director,1979,02/03/1939,1939,40
Robert Benton,Kramer vs. Kramer,Best Director,1980,09/29/1932,1932,48
Robert Redford,Ordinary People,Best Director,1980,08/18/1936,1936,44
Warren Beatty,Reds,Best Director,1981,03/30/1937,1937,44
Richard Attenborough,Gandhi,Best Director,1982,08/29/1923,1923,59
James L. Brooks,Terms of Endearment,Best Director,1983,05/09/1940,1940,43
Milos Forman,Amadeus,Best Director,1985,02/18/1932,1932,53
Sydney Pollack,Out of Africa,Best Director,1986,07/01/1934,1934,52
Oliver Stone,Platoon,Best Director,1990,09/15/1946,1946,44
Bernardo Bertolucci,The Last Emperor,Best Director,1988,03/16/1941,1941,47
Barry Levinson,Rain Man,Best Director,1989,04/06/1942,1942,47
Oliver Stone,Born on the Fourth of July,Best Director,1990,09/15/1946,1946,44
Kevin Costner,Dances with Wolves,Best Director,1991,01/18/1955,1955,36
Jonathan Demme,The Silence of the Lambs,Best Director,1992,02/22/1944,1944,48
Clint Eastwood,Unforgiven,Best Director,1993,05/31/1930,1930,63
Steven Spielberg,Schindler's List,Best Director,1994,12/18/1946,1946,48
Robert Zemeckis,Forrest Gump,Best Director,1995,05/14/1952,1952,43
Mel Gibson,Braveheart,Best Director,1996,01/03/1956,1956,40
Anthony Minghella,The English Patient,Best Director,1997,01/06/1954,1954,43
James Cameron,Titanic,Best Director,1998,08/16/1954,1954,44
Steven Spielberg,Saving Private Ryan,Best Director,1999,12/18/1946,1946,53
Sam Mendes,American Beauty,Best Director,2000,08/01/1965,1965,35
Steven Soderbergh,Traffic,Best Director,2001,01/14/1963,1963,38
Ron Howard,A Beautiful Mind,Best Director,2002,03/01/1954,1954,48
Roman Polanski,The Pianist,Best Director,2003,08/18/1933,1933,70
Peter Jackson,The Lord of the Rings: Return of the King,Best Director,2004,10/31/1961,1961,43
Clint Eastwood,Million Dollar Baby,Best Director,2005,05/31/1930,1930,75
Ang Lee,Brokeback Mountain,Best Director,2006,10/23/1954,1954,52
Martin Scorsese,The Departed,Best Director,2007,11/17/1942,1942,65
Ethan Coen,No Country for Old Men,Best Director,2008,09/21/1957,1957,51
Danny Boyle,Slumdog Millionaire,Best Director,2009,10/19/1956,1956,53
Kathryn Bigelow,The Hurt Locker,Best Director,2009,11/27/1951,1951,58
Tom Hooper,The King's Speech,Best Director,2011,01/01/1972,1972,39
Michel Hazanavicius,The Artist,Best Director,2012,03/29/1967,1967,45
Ang Lee,Life of Pi,Best Director,2013,10/23/1954,1954,59
Emil Jannings,The Last Command,Best Actor,1929,07/23/1884,1884,45
Warner Baxter,In Old Arizona,Best Actor,1930,03/29/1889,1889,41
George Arliss,Desraeli,Best Actor,1930,04/10/1868,1868,62
Lionel Barrymore,A Free Soul,Best Actor,1931,04/28/1878,1878,53
Wallace Beery,The Champ,Best Actor,1932,04/01/1885,1885,47
Charles Laughton,The Private Life of Henry VIII,Best Actor,1934,07/01/1899,1899,35
Clark Gable,It Happened One Night,Best Actor,1935,02/01/1901,1901,34
Victor McLaglen,The Informer,Best Actor,1936,12/11/1883,1883,53
Paul Muni,The Story of Louis Pasteur,Best Actor,1937,09/22/1895,1895,42
Spencer Tracy,Captains Courageous,Best Actor,1938,04/05/1900,1900,38
Spencer Tracy,Boys Town,Best Actor,1939,04/05/1900,1900,39
Robert Donat,Goodbye Mr. Chips,Best Actor,1940,03/18/1905,1905,35
Jimmy Stewart,The Philadelphia Story,Best Actor,1941,05/19/1908,1908,33
Gary Cooper,Sergeant York,Best Actor,1942,05/07/1901,1901,41
James Cagney,Yankee Doodle Dandy,Best Actor,1943,07/17/1899,1899,44
Paul Lukas,Watch on the Rhine,Best Actor,1944,05/26/1887,1887,57
Bing Crosby,Going My Way,Best Actor,1945,05/03/1903,1903,42
Ray Milland,The Lost Weekend,Best Actor,1946,01/03/1907,1907,39
Fredric March,The Best Years of Our Lives,Best Actor,1947,08/31/1897,1897,50
Ronald Colman,A Double Life,Best Actor,1948,02/09/1891,1891,57
Laurence Olivier,Hamlet,Best Actor,1949,05/22/1907,1907,42
Broderick Crawford,All The King's Men,Best Actor,1950,12/09/1911,1911,39
Jose Ferrer,Cyrano de Bergerac,Best Actor,1951,01/08/1909,1909,42
Humphrey Bogart,The Africa Queen,Best Actor,1952,12/25/1899,1899,53
