question,response
children_with_1_or_more_vaccination,correct
children_with_1_or_more_vaccination,correct
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,correct
children_with_1_or_more_vaccination,correct
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,correct
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,correct
children_with_1_or_more_vaccination,correct
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,correct
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,correct
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,correct
children_with_1_or_more_vaccination,correct
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,correct
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
children_with_1_or_more_vaccination,incorrect
