question,response
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,correct
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
children_in_2100,incorrect
